date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate
2019-01-01,W.P. Kuala Lumpur,852.5,833.1,19.4,387.7,68.7,2.3
2019-04-01,W.P. Kuala Lumpur,876.2,848.2,28.0,359.0,70.9,3.2
2019-07-01,W.P. Kuala Lumpur,893.4,871.4,22.0,341.7,72.3,2.5
2019-10-01,W.P. Kuala Lumpur,834.1,813.6,20.5,390.3,68.1,2.5
2020-01-01,W.P. Kuala Lumpur,900.3,877.2,23.1,341.8,72.5,2.6
2020-04-01,W.P. Kuala Lumpur,884.0,850.7,33.2,346.0,71.9,3.8
2020-07-01,W.P. Kuala Lumpur,892.4,859.5,32.8,336.8,72.6,3.7
2020-10-01,W.P. Kuala Lumpur,892.0,848.7,43.3,323.3,73.4,4.9
2021-01-01,W.P. Kuala Lumpur,919.6,874.1,45.5,310.0,74.8,4.9
2021-04-01,W.P. Kuala Lumpur,918.6,875.0,43.6,332.2,73.4,4.7
2021-07-01,W.P. Kuala Lumpur,900.7,857.5,43.2,322.6,73.6,4.8
2021-10-01,W.P. Kuala Lumpur,918.2,872.6,45.6,311.0,74.7,5.0
2022-01-01,W.P. Kuala Lumpur,902.4,859.5,42.9,308.2,74.5,4.8
2022-04-01,W.P. Kuala Lumpur,898.8,859.9,38.9,308.7,74.4,4.3
2022-07-01,W.P. Kuala Lumpur,888.6,857.2,31.3,314.7,73.8,3.5
2022-10-01,W.P. Kuala Lumpur,859.0,831.6,27.4,337.2,71.8,3.2
2023-01-01,W.P. Kuala Lumpur,886.0,857.3,28.7,326.6,73.1,3.2
2023-04-01,W.P. Kuala Lumpur,873.7,844.4,29.4,321.5,73.1,3.4
2023-07-01,W.P. Kuala Lumpur,875.5,846.0,29.5,316.7,73.4,3.4
2023-10-01,W.P. Kuala Lumpur,874.6,845.8,28.8,312.1,73.7,3.3
2024-01-01,W.P. Kuala Lumpur,877.7,849.3,28.5,306.3,74.1,3.2
2024-04-01,W.P. Kuala Lumpur,911.8,885.0,26.9,298.3,75.4,2.9
2024-07-01,W.P. Kuala Lumpur,892.4,865.9,26.5,299.4,74.9,3.0
2024-10-01,W.P. Kuala Lumpur,925.2,896.1,29.0,309.6,74.9,3.1
2017-01-01,W.P. Labuan,42.6,39.4,3.2,22.7,65.2,7.5
2017-04-01,W.P. Labuan,40.3,36.5,3.8,25.9,60.9,9.4
2017-07-01,W.P. Labuan,42.1,38.5,3.7,24.4,63.3,8.7
2017-10-01,W.P. Labuan,42.7,39.4,3.3,24.3,63.7,7.6
2018-01-01,W.P. Labuan,45.0,42.0,3.0,21.9,67.2,6.7
2018-04-01,W.P. Labuan,47.2,44.8,2.4,21.9,68.4,5.1
2018-07-01,W.P. Labuan,40.8,39.4,1.4,28.1,59.3,3.5
2018-10-01,W.P. Labuan,41.9,40.4,1.5,27.2,60.6,3.6
2019-01-01,W.P. Labuan,42.8,40.7,2.0,25.9,62.3,4.8
2019-04-01,W.P. Labuan,45.5,43.4,2.1,23.9,65.6,4.6
2019-07-01,W.P. Labuan,42.4,41.2,1.1,27.8,60.4,2.6
2019-10-01,W.P. Labuan,41.1,39.4,1.7,28.1,59.4,4.2
2020-01-01,W.P. Labuan,45.5,44.4,1.1,26.1,63.6,2.5
2020-04-01,W.P. Labuan,45.5,42.7,2.9,26.6,63.1,6.4
2020-07-01,W.P. Labuan,47.8,45.1,2.7,26.2,64.6,5.7
2020-10-01,W.P. Labuan,47.0,43.2,3.9,24.3,65.9,8.2
2021-01-01,W.P. Labuan,50.0,45.5,4.5,24.6,67.0,9.0
2021-04-01,W.P. Labuan,48.7,44.4,4.3,25.2,65.9,8.8
2021-07-01,W.P. Labuan,51.2,47.0,4.2,25.1,67.1,8.2
2021-10-01,W.P. Labuan,51.1,47.2,3.9,24.0,68.1,7.6
2022-01-01,W.P. Labuan,50.5,47.0,3.5,24.0,67.8,6.9
2022-04-01,W.P. Labuan,49.8,46.2,3.6,23.6,67.9,7.2
2022-07-01,W.P. Labuan,49.3,45.9,3.4,25.1,66.3,6.9
2022-10-01,W.P. Labuan,49.3,47.0,2.2,24.9,66.4,4.5
2023-01-01,W.P. Labuan,49.4,46.7,2.7,25.3,66.1,5.4
2023-04-01,W.P. Labuan,51.7,48.0,3.8,26.3,66.3,7.3
2023-07-01,W.P. Labuan,49.4,45.8,3.6,24.6,66.8,7.3
2023-10-01,W.P. Labuan,49.4,45.9,3.5,24.5,66.9,7.0
2024-01-01,W.P. Labuan,51.8,48.1,3.7,24.6,67.8,7.2
2024-04-01,W.P. Labuan,51.6,48.1,3.6,24.4,67.9,6.9
2024-07-01,W.P. Labuan,51.3,48.1,3.1,24.4,67.7,6.1
2024-10-01,W.P. Labuan,51.3,48.4,2.8,24.9,67.3,5.5
2017-01-01,W.P. Putrajaya,36.0,35.5,0.5,13.3,73.1,1.3
2017-04-01,W.P. Putrajaya,38.3,38.0,0.3,11.5,76.9,0.8
2017-07-01,W.P. Putrajaya,38.3,37.6,0.7,11.9,76.2,1.9
2017-10-01,W.P. Putrajaya,37.5,36.8,0.7,12.1,75.6,1.9
2018-01-01,W.P. Putrajaya,38.3,37.9,0.4,12.9,74.8,1.1
2018-04-01,W.P. Putrajaya,38.5,37.9,0.6,12.7,75.2,1.6
2018-07-01,W.P. Putrajaya,36.0,35.6,0.4,15.2,70.3,1.2
2018-10-01,W.P. Putrajaya,38.2,37.7,0.5,13.2,74.3,1.3
2019-01-01,W.P. Putrajaya,37.2,36.6,0.6,13.6,73.2,1.5
2019-04-01,W.P. Putrajaya,37.8,37.4,0.3,13.6,73.6,0.9
2019-07-01,W.P. Putrajaya,36.8,36.4,0.4,14.7,71.4,1.1
2019-10-01,W.P. Putrajaya,37.2,37.0,0.2,14.4,72.1,0.4
2020-01-01,W.P. Putrajaya,38.5,38.5,0.1,12.6,75.3,0.2
2020-04-01,W.P. Putrajaya,36.6,35.9,0.8,14.2,72.1,2.1
2020-07-01,W.P. Putrajaya,37.6,37.1,0.4,13.4,73.7,1.2
2020-10-01,W.P. Putrajaya,34.3,33.6,0.7,16.3,67.9,2.1
2021-01-01,W.P. Putrajaya,36.3,35.4,0.9,15.6,70.0,2.4
2021-04-01,W.P. Putrajaya,33.8,33.2,0.6,15.3,68.8,1.7
2021-07-01,W.P. Putrajaya,35.2,34.8,0.4,14.9,70.2,1.0
2021-10-01,W.P. Putrajaya,36.2,35.6,0.6,14.9,70.9,1.6
2022-01-01,W.P. Putrajaya,36.5,36.2,0.3,15.4,70.3,1.0
2022-04-01,W.P. Putrajaya,36.3,36.0,0.3,15.1,70.7,0.9
2022-07-01,W.P. Putrajaya,36.4,36.1,0.3,14.4,71.7,1.0
2022-10-01,W.P. Putrajaya,39.2,38.6,0.6,11.3,77.6,1.6
2023-01-01,W.P. Putrajaya,38.9,38.6,0.3,11.9,76.5,0.8
2023-04-01,W.P. Putrajaya,38.7,38.5,0.2,11.7,76.8,0.5
2023-07-01,W.P. Putrajaya,38.5,38.3,0.2,12.4,75.6,0.5
2023-10-01,W.P. Putrajaya,38.4,37.8,0.6,13.2,74.4,1.5
2024-01-01,W.P. Putrajaya,36.5,35.7,0.8,13.6,72.9,2.1
2024-04-01,W.P. Putrajaya,37.3,36.6,0.8,13.5,73.4,2.1
2024-07-01,W.P. Putrajaya,36.9,36.2,0.7,13.7,73.0,2.0
2024-10-01,W.P. Putrajaya,36.3,35.2,1.1,13.9,72.3,3.1
