state,u_rate
Johor,3.825
Kedah,3.9125
Kelantan,4.5125
Melaka,2.8625000000000003
Negeri Sembilan,3.6
Pahang,3.3125
Penang,3.55
Perak,4.675
Perlis,4.6625
Sabah,8.55
Sarawak,4.3875
Selangor,3.95
Terengganu,3.925
W.P. Kuala Lumpur,4.3
W.P. Labuan,7.05
W.P. Putrajaya,1.5375
